Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,282.279998779297,301.440002441406,277.720001220703,298.809997558594,298.809997558594,117258400
2020-03-03,303.670013427734,304,285.799987792969,289.320007324219,289.320007324219,43971200
2020-03-04,296.440002441406,303.399993896484,293.130004882813,302.739990234375,302.739990234375,26432000
2020-03-05,295.519989013672,299.549987792969,291.410003662109,292.920013427734,292.920013427734,21610400
2020-03-06,282,290.820007324219,281.230010986328,289.029998779297,289.029998779297,18362400
2020-03-09,263.75,278.089996337891,263,266.170013427734,266.170013427734,12157600
2020-03-10,277.140014648438,286.440002441406,269.369995117188,285.339996337891,285.339996337891,9340800
2020-03-11,277.390014648438,281.220001220703,271.859985351563,275.429992675781,275.429992675781,11737600
2020-03-12,255.940002441406,270,248,248.229995727539,248.229995727539,12000800
2020-03-13,264.890014648438,279.920013427734,252.949996948242,277.970001220703,277.970001220703,13893600
2020-03-16,241.949996948242,259.079986572266,240,242.210006713867,242.210006713867,23290400
2020-03-17,247.509994506836,257.609985351563,238.399993896484,252.860000610352,252.860000610352,17220000
2020-03-18,239.770004272461,250,237.119995117188,246.669998168945,246.669998168945,8937600
2020-03-19,247.389999389648,252.839996337891,242.610000610352,244.779998779297,244.779998779297,5415200
2020-03-20,247.179992675781,251.830001831055,228,229.240005493164,229.240005493164,8932000
2020-03-23,228.080001831055,228.5,212.610000610352,224.369995117188,224.369995117188,11289600
2020-03-24,236.360000610352,247.690002441406,234.300003051758,246.880004882813,246.880004882813,13921600
2020-03-25,250.75,258.25,244.300003051758,245.520004272461,245.520004272461,9956800
2020-03-26,246.520004272461,258.679992675781,246.360000610352,258.440002441406,258.440002441406,5376000
2020-03-27,252.75,255.869995117188,247.050003051758,247.740005493164,247.740005493164,5924800
2020-03-30,250.740005493164,255.520004272461,249.399993896484,254.809997558594,254.809997558594,5762400
2020-03-31,255.600006103516,262.489990234375,252,254.289993286133,254.289993286133,3572800
2020-04-01,246.5,248.720001220703,239.130004882813,240.910003662109,240.910003662109,3516800
,,,,,,3348800
,,,,,,10393600
,,,,,,7520800
,,,,,,3976000
,,,,,,8887200
,,,,,,2805600
,,,,,,6160000
,,,,,,5924800
,,,,,,7039200
,,,,,,10976000
,,,,,,11547200
,,,,,,5941600
,,,,,,4788000
,,,,,,6966400
,,,,,,1982400
,,,,,,3466400
